,activity
2654,WALKING
2655,WALKING
2656,WALKING
2657,WALKING
2658,WALKING
2659,WALKING_DOWNSTAIRS
2660,WALKING_DOWNSTAIRS
2661,WALKING_DOWNSTAIRS
2662,WALKING_DOWNSTAIRS
2663,WALKING_DOWNSTAIRS
2664,WALKING_DOWNSTAIRS
2665,WALKING_DOWNSTAIRS
2666,WALKING_DOWNSTAIRS
2667,WALKING_DOWNSTAIRS
2668,WALKING_DOWNSTAIRS
2669,WALKING_DOWNSTAIRS
2670,WALKING_DOWNSTAIRS
2671,WALKING_DOWNSTAIRS
2672,WALKING_DOWNSTAIRS
2673,WALKING_DOWNSTAIRS
2674,WALKING_DOWNSTAIRS
2675,WALKING_DOWNSTAIRS
2676,WALKING_DOWNSTAIRS
2677,WALKING_DOWNSTAIRS
2678,WALKING_DOWNSTAIRS
2679,WALKING_DOWNSTAIRS
2680,WALKING_UPSTAIRS
2681,WALKING_UPSTAIRS
2682,WALKING_UPSTAIRS
2683,WALKING_UPSTAIRS
2684,WALKING_UPSTAIRS
2685,WALKING_UPSTAIRS
2686,WALKING_UPSTAIRS
2687,WALKING_UPSTAIRS
2688,WALKING_UPSTAIRS
2689,WALKING_UPSTAIRS
2690,WALKING_UPSTAIRS
2691,WALKING_UPSTAIRS
2692,WALKING_UPSTAIRS
2693,WALKING_UPSTAIRS
2694,WALKING_UPSTAIRS
2695,WALKING_UPSTAIRS
2696,WALKING_UPSTAIRS
2697,WALKING_UPSTAIRS
2698,WALKING_UPSTAIRS
2699,WALKING_UPSTAIRS
2700,WALKING_UPSTAIRS
2701,WALKING_UPSTAIRS
2702,WALKING_UPSTAIRS
2703,WALKING_UPSTAIRS
2704,STANDING
2705,STANDING
2706,STANDING
2707,STANDING
2708,STANDING
2709,STANDING
2710,STANDING
2711,STANDING
2712,STANDING
2713,STANDING
2714,STANDING
2715,STANDING
2716,STANDING
2717,STANDING
2718,STANDING
2719,STANDING
2720,STANDING
2721,STANDING
2722,STANDING
2723,STANDING
2724,STANDING
2725,STANDING
2726,STANDING
2727,STANDING
2728,STANDING
2729,STANDING
2730,SITTING
2731,SITTING
2732,SITTING
2733,SITTING
2734,SITTING
2735,SITTING
2736,SITTING
2737,SITTING
2738,SITTING
2739,SITTING
2740,SITTING
2741,SITTING
2742,SITTING
2743,SITTING
2744,SITTING
2745,SITTING
2746,SITTING
2747,SITTING
2748,SITTING
2749,SITTING
2750,SITTING
2751,SITTING
2752,SITTING
2753,SITTING
2754,SITTING
2755,SITTING
2756,SITTING
2757,SITTING
2758,SITTING
2759,SITTING
2760,SITTING
2761,SITTING
2762,LAYING
2763,LAYING
2764,LAYING
2765,LAYING
2766,LAYING
2767,LAYING
2768,LAYING
2769,LAYING
2770,LAYING
2771,LAYING
2772,LAYING
2773,LAYING
2774,LAYING
2775,LAYING
2776,LAYING
2777,LAYING
2778,LAYING
2779,LAYING
2780,LAYING
2781,LAYING
2782,LAYING
2783,LAYING
2784,LAYING
2785,LAYING
2786,LAYING
2787,LAYING
2788,LAYING
2789,LAYING
2790,LAYING
2791,LAYING
2792,LAYING
2793,LAYING
2794,LAYING
2795,LAYING
2796,LAYING
2797,LAYING
2798,LAYING
2799,LAYING
2800,WALKING
2801,WALKING
2802,WALKING
2803,WALKING
2804,WALKING
2805,WALKING
2806,WALKING
2807,WALKING
2808,WALKING
2809,WALKING
2810,WALKING
2811,WALKING
2812,WALKING
2813,WALKING
2814,WALKING
2815,WALKING
2816,WALKING
2817,WALKING
2818,WALKING
2819,WALKING
2820,WALKING
2821,WALKING
2822,WALKING
2823,WALKING
2824,WALKING
2825,WALKING
2826,WALKING_DOWNSTAIRS
2827,WALKING_DOWNSTAIRS
2828,WALKING_DOWNSTAIRS
2829,WALKING_DOWNSTAIRS
2830,WALKING_DOWNSTAIRS
2831,WALKING_DOWNSTAIRS
2832,WALKING_DOWNSTAIRS
2833,WALKING_DOWNSTAIRS
2834,WALKING_DOWNSTAIRS
2835,WALKING_DOWNSTAIRS
2836,WALKING_DOWNSTAIRS
2837,WALKING_DOWNSTAIRS
2838,WALKING_DOWNSTAIRS
2839,WALKING_DOWNSTAIRS
2840,WALKING_DOWNSTAIRS
2841,WALKING_DOWNSTAIRS
2842,WALKING_DOWNSTAIRS
2843,WALKING_DOWNSTAIRS
2844,WALKING_DOWNSTAIRS
2845,WALKING_DOWNSTAIRS
2846,WALKING_DOWNSTAIRS
2847,WALKING_UPSTAIRS
2848,WALKING_UPSTAIRS
2849,WALKING_UPSTAIRS
2850,WALKING_UPSTAIRS
2851,WALKING_UPSTAIRS
2852,WALKING_UPSTAIRS
2853,WALKING_UPSTAIRS
2854,WALKING_UPSTAIRS
2855,WALKING_UPSTAIRS
2856,WALKING_UPSTAIRS
2857,WALKING_UPSTAIRS
2858,WALKING_UPSTAIRS
2859,WALKING_UPSTAIRS
2860,WALKING_UPSTAIRS
2861,WALKING_UPSTAIRS
2862,WALKING_UPSTAIRS
2863,WALKING_UPSTAIRS
2864,WALKING_UPSTAIRS
2865,WALKING_UPSTAIRS
2866,WALKING_UPSTAIRS
2867,WALKING_UPSTAIRS
2868,WALKING_UPSTAIRS
2869,WALKING_UPSTAIRS
2870,WALKING_UPSTAIRS
2871,STANDING
2872,STANDING
2873,STANDING
2874,STANDING
2875,STANDING
2876,STANDING
2877,STANDING
2878,STANDING
2879,STANDING
2880,STANDING
2881,STANDING
2882,STANDING
2883,STANDING
2884,STANDING
2885,STANDING
2886,STANDING
2887,STANDING
2888,STANDING
2889,STANDING
2890,STANDING
2891,STANDING
2892,STANDING
2893,STANDING
2894,STANDING
2895,STANDING
2896,STANDING
2897,STANDING
2898,STANDING
2899,STANDING
2900,STANDING
2901,STANDING
2902,STANDING
2903,STANDING
2904,STANDING
2905,STANDING
2906,STANDING
2907,SITTING
2908,SITTING
2909,SITTING
2910,SITTING
2911,SITTING
2912,SITTING
2913,SITTING
2914,SITTING
2915,SITTING
2916,SITTING
2917,SITTING
2918,SITTING
2919,SITTING
2920,SITTING
2921,SITTING
2922,SITTING
2923,SITTING
2924,SITTING
2925,SITTING
2926,SITTING
2927,SITTING
2928,SITTING
2929,SITTING
2930,SITTING
2931,SITTING
2932,SITTING
2933,SITTING
2934,SITTING
2935,SITTING
2936,SITTING
2937,SITTING
2938,LAYING
2939,LAYING
2940,LAYING
2941,LAYING
2942,LAYING
2943,LAYING
2944,LAYING
2945,LAYING
2946,LAYING
2947,LAYING
2948,LAYING
2949,LAYING
2950,LAYING
2951,LAYING
2952,LAYING
2953,LAYING
2954,LAYING
2955,LAYING
2956,LAYING
2957,LAYING
2958,LAYING
2959,LAYING
2960,LAYING
2961,LAYING
2962,LAYING
2963,LAYING
2964,LAYING
2965,LAYING
2966,LAYING
2967,LAYING
2968,LAYING
2969,LAYING
2970,LAYING
2971,LAYING
2972,LAYING
2973,WALKING
2974,WALKING
2975,WALKING
2976,WALKING
2977,WALKING
2978,WALKING
2979,WALKING
2980,WALKING
2981,WALKING
2982,WALKING
2983,WALKING
2984,WALKING
2985,WALKING
2986,WALKING
2987,WALKING
2988,WALKING
2989,WALKING
2990,WALKING
2991,WALKING
2992,WALKING
2993,WALKING
2994,WALKING
2995,WALKING
2996,WALKING
2997,WALKING
2998,WALKING
2999,WALKING_DOWNSTAIRS
3000,WALKING_DOWNSTAIRS
3001,WALKING_DOWNSTAIRS
3002,WALKING_DOWNSTAIRS
3003,WALKING_DOWNSTAIRS
3004,WALKING_DOWNSTAIRS
3005,WALKING_DOWNSTAIRS
3006,WALKING_DOWNSTAIRS
3007,WALKING_DOWNSTAIRS
3008,WALKING_DOWNSTAIRS
3009,WALKING_DOWNSTAIRS
3010,WALKING_DOWNSTAIRS
3011,WALKING_DOWNSTAIRS
3012,WALKING_DOWNSTAIRS
3013,WALKING_DOWNSTAIRS
3014,WALKING_DOWNSTAIRS
3015,WALKING_DOWNSTAIRS
3016,WALKING_DOWNSTAIRS
3017,WALKING_DOWNSTAIRS
3018,WALKING_DOWNSTAIRS
3019,WALKING_DOWNSTAIRS
3020,WALKING_DOWNSTAIRS
3021,WALKING_DOWNSTAIRS
3022,WALKING_DOWNSTAIRS
3023,WALKING_UPSTAIRS
3024,WALKING_UPSTAIRS
3025,WALKING_UPSTAIRS
3026,WALKING_UPSTAIRS
3027,WALKING_UPSTAIRS
3028,WALKING_UPSTAIRS
3029,WALKING_UPSTAIRS
3030,WALKING_UPSTAIRS
3031,WALKING_UPSTAIRS
3032,WALKING_UPSTAIRS
3033,WALKING_UPSTAIRS
3034,WALKING_UPSTAIRS
3035,WALKING_UPSTAIRS
3036,WALKING_UPSTAIRS
3037,WALKING_UPSTAIRS
3038,WALKING_UPSTAIRS
3039,WALKING_UPSTAIRS
3040,WALKING_UPSTAIRS
3041,WALKING_UPSTAIRS
3042,WALKING_UPSTAIRS
3043,WALKING_UPSTAIRS
3044,WALKING_UPSTAIRS
3045,WALKING_UPSTAIRS
3046,WALKING_UPSTAIRS
3047,WALKING_UPSTAIRS
3048,WALKING_UPSTAIRS
3049,WALKING_UPSTAIRS
3050,STANDING
3051,STANDING
3052,STANDING
3053,STANDING
3054,STANDING
3055,STANDING
3056,STANDING
3057,STANDING
3058,STANDING
3059,STANDING
3060,STANDING
3061,STANDING
3062,STANDING
3063,STANDING
3064,STANDING
3065,STANDING
3066,STANDING
3067,STANDING
3068,STANDING
3069,STANDING
3070,STANDING
3071,STANDING
3072,STANDING
3073,STANDING
3074,STANDING
3075,STANDING
3076,STANDING
3077,STANDING
3078,STANDING
3079,STANDING
3080,STANDING
3081,STANDING
3082,STANDING
3083,STANDING
3084,STANDING
3085,STANDING
3086,STANDING
3087,STANDING
3088,STANDING
3089,STANDING
3090,STANDING
3091,STANDING
3092,SITTING
3093,SITTING
3094,SITTING
3095,SITTING
3096,SITTING
3097,SITTING
3098,SITTING
3099,SITTING
3100,SITTING
3101,SITTING
3102,SITTING
3103,SITTING
3104,SITTING
3105,SITTING
3106,SITTING
3107,SITTING
3108,SITTING
3109,SITTING
3110,SITTING
3111,SITTING
3112,SITTING
3113,SITTING
3114,SITTING
3115,SITTING
3116,SITTING
3117,SITTING
3118,SITTING
3119,SITTING
3120,SITTING
3121,SITTING
3122,SITTING
3123,SITTING
3124,SITTING
3125,SITTING
3126,SITTING
3127,SITTING
3128,SITTING
3129,SITTING
3130,LAYING
3131,LAYING
3132,LAYING
3133,LAYING
3134,LAYING
3135,LAYING
3136,LAYING
3137,LAYING
3138,LAYING
3139,LAYING
3140,LAYING
3141,LAYING
3142,LAYING
3143,LAYING
3144,LAYING
3145,LAYING
3146,LAYING
3147,LAYING
3148,LAYING
3149,LAYING
3150,LAYING
3151,LAYING
3152,LAYING
3153,LAYING
3154,LAYING
3155,LAYING
3156,LAYING
3157,LAYING
3158,LAYING
3159,LAYING
3160,LAYING
3161,LAYING
3162,LAYING
3163,LAYING
3164,LAYING
3165,WALKING
3166,WALKING
3167,WALKING
3168,WALKING
3169,WALKING
3170,WALKING
3171,WALKING
3172,WALKING
3173,WALKING
3174,WALKING
3175,WALKING
3176,WALKING
3177,WALKING
3178,WALKING
3179,WALKING
3180,WALKING
3181,WALKING
3182,WALKING
3183,WALKING
3184,WALKING
3185,WALKING
3186,WALKING
3187,WALKING
3188,WALKING
3189,WALKING
3190,WALKING_DOWNSTAIRS
3191,WALKING_DOWNSTAIRS
3192,WALKING_DOWNSTAIRS
3193,WALKING_DOWNSTAIRS
3194,WALKING_DOWNSTAIRS
3195,WALKING_DOWNSTAIRS
3196,WALKING_DOWNSTAIRS
3197,WALKING_DOWNSTAIRS
3198,WALKING_DOWNSTAIRS
3199,WALKING_DOWNSTAIRS
3200,WALKING_DOWNSTAIRS
3201,WALKING_DOWNSTAIRS
3202,WALKING_DOWNSTAIRS
3203,WALKING_DOWNSTAIRS
3204,WALKING_DOWNSTAIRS
3205,WALKING_DOWNSTAIRS
3206,WALKING_DOWNSTAIRS
3207,WALKING_DOWNSTAIRS
3208,WALKING_DOWNSTAIRS
3209,WALKING_DOWNSTAIRS
3210,WALKING_DOWNSTAIRS
3211,WALKING_DOWNSTAIRS
3212,WALKING_DOWNSTAIRS
3213,WALKING_UPSTAIRS
3214,WALKING_UPSTAIRS
3215,WALKING_UPSTAIRS
3216,WALKING_UPSTAIRS
3217,WALKING_UPSTAIRS
3218,WALKING_UPSTAIRS
3219,WALKING_UPSTAIRS
3220,WALKING_UPSTAIRS
3221,WALKING_UPSTAIRS
3222,WALKING_UPSTAIRS
3223,WALKING_UPSTAIRS
3224,WALKING_UPSTAIRS
3225,WALKING_UPSTAIRS
3226,WALKING_UPSTAIRS
3227,WALKING_UPSTAIRS
3228,WALKING_UPSTAIRS
3229,WALKING_UPSTAIRS
3230,WALKING_UPSTAIRS
3231,WALKING_UPSTAIRS
3232,WALKING_UPSTAIRS
3233,WALKING_UPSTAIRS
3234,WALKING_UPSTAIRS
3235,WALKING_UPSTAIRS
3236,WALKING_UPSTAIRS
3237,STANDING
3238,STANDING
3239,STANDING
3240,STANDING
3241,STANDING
3242,STANDING
3243,STANDING
3244,STANDING
3245,STANDING
3246,STANDING
3247,STANDING
3248,STANDING
3249,STANDING
3250,STANDING
3251,STANDING
3252,STANDING
3253,STANDING
3254,STANDING
3255,STANDING
3256,STANDING
3257,STANDING
3258,STANDING
3259,STANDING
3260,STANDING
3261,STANDING
3262,STANDING
3263,STANDING
3264,STANDING
3265,STANDING
3266,STANDING
3267,STANDING
3268,STANDING
3269,STANDING
3270,STANDING
3271,STANDING
3272,STANDING
3273,STANDING
3274,STANDING
3275,STANDING
3276,STANDING
3277,STANDING
3278,STANDING
3279,STANDING
3280,SITTING
3281,SITTING
3282,SITTING
3283,SITTING
3284,SITTING
3285,SITTING
3286,SITTING
3287,SITTING
3288,SITTING
3289,SITTING
3290,SITTING
3291,SITTING
3292,SITTING
3293,SITTING
3294,SITTING
3295,SITTING
3296,SITTING
3297,SITTING
3298,SITTING
3299,SITTING
3300,SITTING
3301,SITTING
3302,SITTING
3303,SITTING
3304,SITTING
3305,SITTING
3306,SITTING
3307,SITTING
3308,SITTING
3309,SITTING
3310,SITTING
3311,SITTING
3312,SITTING
3313,LAYING
3314,LAYING
3315,LAYING
3316,LAYING
3317,LAYING
3318,LAYING
3319,LAYING
3320,LAYING
3321,LAYING
3322,LAYING
3323,LAYING
3324,LAYING
3325,LAYING
3326,LAYING
3327,LAYING
3328,LAYING
3329,LAYING
3330,LAYING
3331,LAYING
3332,LAYING
3333,LAYING
3334,LAYING
3335,LAYING
3336,LAYING
3337,LAYING
3338,LAYING
3339,LAYING
3340,LAYING
3341,LAYING
3342,LAYING
3343,LAYING
3344,LAYING
3345,LAYING
3346,LAYING
3347,LAYING
3348,WALKING
3349,WALKING
3350,WALKING
3351,WALKING
3352,WALKING
3353,WALKING
3354,WALKING
3355,WALKING
3356,WALKING
3357,WALKING
3358,WALKING
3359,WALKING
3360,WALKING
3361,WALKING
3362,WALKING
3363,WALKING
3364,WALKING
3365,WALKING
3366,WALKING
3367,WALKING
3368,WALKING
3369,WALKING
3370,WALKING
3371,WALKING
3372,WALKING
3373,WALKING
3374,WALKING
3375,WALKING
3376,WALKING
3377,WALKING
3378,WALKING
3379,WALKING
3380,WALKING_DOWNSTAIRS
3381,WALKING_DOWNSTAIRS
3382,WALKING_DOWNSTAIRS
3383,WALKING_DOWNSTAIRS
3384,WALKING_DOWNSTAIRS
3385,WALKING_DOWNSTAIRS
3386,WALKING_DOWNSTAIRS
3387,WALKING_DOWNSTAIRS
3388,WALKING_UPSTAIRS
3389,WALKING_UPSTAIRS
3390,WALKING_UPSTAIRS
3391,WALKING_UPSTAIRS
3392,WALKING_UPSTAIRS
3393,WALKING_UPSTAIRS
3394,WALKING_UPSTAIRS
3395,WALKING_UPSTAIRS
3396,WALKING_DOWNSTAIRS
3397,WALKING_DOWNSTAIRS
3398,WALKING_DOWNSTAIRS
3399,WALKING_DOWNSTAIRS
3400,WALKING_DOWNSTAIRS
3401,WALKING_DOWNSTAIRS
3402,WALKING_DOWNSTAIRS
3403,WALKING_DOWNSTAIRS
3404,WALKING_UPSTAIRS
3405,WALKING_UPSTAIRS
3406,WALKING_UPSTAIRS
3407,WALKING_UPSTAIRS
3408,WALKING_UPSTAIRS
3409,WALKING_UPSTAIRS
3410,WALKING_UPSTAIRS
3411,WALKING_UPSTAIRS
3412,WALKING_DOWNSTAIRS
3413,WALKING_DOWNSTAIRS
3414,WALKING_DOWNSTAIRS
3415,WALKING_DOWNSTAIRS
3416,WALKING_DOWNSTAIRS
3417,WALKING_DOWNSTAIRS
3418,WALKING_DOWNSTAIRS
3419,WALKING_UPSTAIRS
3420,WALKING_UPSTAIRS
3421,WALKING_UPSTAIRS
3422,WALKING_UPSTAIRS
3423,WALKING_UPSTAIRS
3424,WALKING_UPSTAIRS
3425,WALKING_UPSTAIRS
3426,WALKING_UPSTAIRS
3427,STANDING
3428,STANDING
3429,STANDING
3430,STANDING
3431,STANDING
3432,STANDING
3433,STANDING
3434,STANDING
3435,STANDING
3436,STANDING
3437,STANDING
3438,STANDING
3439,STANDING
3440,STANDING
3441,STANDING
3442,STANDING
3443,STANDING
3444,STANDING
3445,STANDING
3446,STANDING
3447,STANDING
3448,STANDING
3449,STANDING
3450,STANDING
3451,STANDING
3452,STANDING
3453,STANDING
3454,STANDING
3455,STANDING
3456,STANDING
3457,STANDING
3458,STANDING
3459,STANDING
3460,STANDING
3461,STANDING
3462,SITTING
3463,SITTING
3464,SITTING
3465,SITTING
3466,SITTING
3467,SITTING
3468,SITTING
3469,SITTING
3470,SITTING
3471,SITTING
3472,SITTING
3473,SITTING
3474,SITTING
3475,SITTING
3476,SITTING
3477,SITTING
3478,SITTING
3479,SITTING
3480,SITTING
3481,SITTING
3482,SITTING
3483,SITTING
3484,SITTING
3485,SITTING
3486,SITTING
3487,SITTING
3488,SITTING
3489,SITTING
3490,SITTING
3491,SITTING
3492,SITTING
3493,LAYING
3494,LAYING
3495,LAYING
3496,LAYING
3497,LAYING
3498,LAYING
3499,LAYING
3500,LAYING
3501,LAYING
3502,LAYING
3503,LAYING
3504,LAYING
3505,LAYING
3506,LAYING
3507,LAYING
3508,LAYING
3509,LAYING
3510,LAYING
3511,LAYING
3512,LAYING
3513,LAYING
3514,LAYING
3515,LAYING
3516,LAYING
3517,LAYING
3518,LAYING
3519,LAYING
3520,LAYING
3521,LAYING
3522,LAYING
3523,LAYING
3524,LAYING
3525,LAYING
3526,LAYING
3527,LAYING
3528,LAYING
3529,WALKING
3530,WALKING
3531,WALKING
3532,WALKING
3533,WALKING
3534,WALKING
3535,WALKING
3536,WALKING
3537,WALKING
3538,WALKING
3539,WALKING
3540,WALKING
3541,WALKING
3542,WALKING
3543,WALKING
3544,WALKING
3545,WALKING
3546,WALKING
3547,WALKING
3548,WALKING
3549,WALKING
3550,WALKING
3551,WALKING
3552,WALKING
3553,WALKING
3554,WALKING
3555,WALKING
3556,WALKING
3557,WALKING
3558,WALKING_DOWNSTAIRS
3559,WALKING_DOWNSTAIRS
3560,WALKING_DOWNSTAIRS
3561,WALKING_DOWNSTAIRS
3562,WALKING_DOWNSTAIRS
3563,WALKING_DOWNSTAIRS
3564,WALKING_DOWNSTAIRS
3565,WALKING_DOWNSTAIRS
3566,WALKING_DOWNSTAIRS
3567,WALKING_DOWNSTAIRS
3568,WALKING_DOWNSTAIRS
3569,WALKING_DOWNSTAIRS
3570,WALKING_DOWNSTAIRS
3571,WALKING_DOWNSTAIRS
3572,WALKING_DOWNSTAIRS
3573,WALKING_UPSTAIRS
3574,WALKING_UPSTAIRS
3575,WALKING_UPSTAIRS
3576,WALKING_UPSTAIRS
3577,WALKING_UPSTAIRS
3578,WALKING_UPSTAIRS
3579,WALKING_UPSTAIRS
3580,WALKING_UPSTAIRS
3581,WALKING_UPSTAIRS
3582,WALKING_UPSTAIRS
3583,WALKING_UPSTAIRS
3584,WALKING_UPSTAIRS
3585,WALKING_UPSTAIRS
3586,WALKING_UPSTAIRS
3587,WALKING_UPSTAIRS
3588,WALKING_UPSTAIRS
3589,WALKING_UPSTAIRS
3590,WALKING_UPSTAIRS
3591,WALKING_UPSTAIRS
3592,WALKING_UPSTAIRS
3593,WALKING_UPSTAIRS
3594,WALKING_UPSTAIRS
3595,WALKING_UPSTAIRS
3596,WALKING_UPSTAIRS
3597,WALKING_DOWNSTAIRS
3598,WALKING_DOWNSTAIRS
3599,WALKING_DOWNSTAIRS
3600,WALKING_DOWNSTAIRS
3601,WALKING_DOWNSTAIRS
3602,WALKING_DOWNSTAIRS
3603,WALKING_DOWNSTAIRS
3604,WALKING_DOWNSTAIRS
3605,STANDING
3606,STANDING
3607,STANDING
3608,STANDING
3609,STANDING
3610,STANDING
3611,STANDING
3612,STANDING
3613,STANDING
3614,STANDING
3615,STANDING
3616,STANDING
3617,STANDING
3618,STANDING
3619,STANDING
3620,STANDING
3621,STANDING
3622,STANDING
3623,STANDING
3624,STANDING
3625,STANDING
3626,STANDING
3627,STANDING
3628,STANDING
3629,STANDING
3630,STANDING
3631,STANDING
3632,STANDING
3633,STANDING
3634,STANDING
3635,STANDING
3636,STANDING
3637,STANDING
3638,STANDING
3639,STANDING
3640,STANDING
3641,STANDING
3642,STANDING
3643,STANDING
3644,STANDING
3645,STANDING
3646,SITTING
3647,SITTING
3648,SITTING
3649,SITTING
3650,SITTING
3651,SITTING
3652,SITTING
3653,SITTING
3654,SITTING
3655,SITTING
3656,SITTING
3657,SITTING
3658,SITTING
3659,SITTING
3660,SITTING
3661,SITTING
3662,SITTING
3663,SITTING
3664,SITTING
3665,SITTING
3666,SITTING
3667,SITTING
3668,SITTING
3669,SITTING
3670,SITTING
3671,SITTING
3672,SITTING
3673,SITTING
3674,SITTING
3675,SITTING
3676,SITTING
3677,SITTING
3678,SITTING
3679,SITTING
3680,SITTING
3681,SITTING
3682,SITTING
3683,LAYING
3684,LAYING
3685,LAYING
3686,LAYING
3687,LAYING
3688,LAYING
3689,LAYING
3690,LAYING
3691,LAYING
3692,LAYING
3693,LAYING
3694,LAYING
3695,LAYING
3696,LAYING
3697,LAYING
3698,LAYING
3699,LAYING
3700,LAYING
3701,LAYING
3702,LAYING
3703,LAYING
3704,LAYING
3705,LAYING
3706,LAYING
3707,LAYING
3708,LAYING
3709,LAYING
3710,LAYING
3711,LAYING
3712,LAYING
3713,LAYING
3714,LAYING
3715,LAYING
3716,LAYING
3717,LAYING
3718,LAYING
3719,LAYING
3720,LAYING
3721,LAYING
3722,LAYING
3723,LAYING
3724,WALKING
3725,WALKING
3726,WALKING
3727,WALKING
3728,WALKING
3729,WALKING
3730,WALKING
3731,WALKING
3732,WALKING
3733,WALKING
3734,WALKING
3735,WALKING
3736,WALKING
3737,WALKING
3738,WALKING
3739,WALKING
3740,WALKING
3741,WALKING
3742,WALKING
3743,WALKING
3744,WALKING
3745,WALKING
3746,WALKING
3747,WALKING
3748,WALKING
3749,WALKING
3750,WALKING
3751,WALKING_DOWNSTAIRS
3752,WALKING_DOWNSTAIRS
3753,WALKING_DOWNSTAIRS
3754,WALKING_DOWNSTAIRS
3755,WALKING_DOWNSTAIRS
3756,WALKING_DOWNSTAIRS
3757,WALKING_DOWNSTAIRS
3758,WALKING_DOWNSTAIRS
3759,WALKING_DOWNSTAIRS
3760,WALKING_DOWNSTAIRS
3761,WALKING_DOWNSTAIRS
3762,WALKING_DOWNSTAIRS
3763,WALKING_DOWNSTAIRS
3764,WALKING_DOWNSTAIRS
3765,WALKING_UPSTAIRS
3766,WALKING_UPSTAIRS
3767,WALKING_UPSTAIRS
3768,WALKING_UPSTAIRS
3769,WALKING_UPSTAIRS
3770,WALKING_UPSTAIRS
3771,WALKING_UPSTAIRS
3772,WALKING_UPSTAIRS
3773,WALKING_UPSTAIRS
3774,WALKING_UPSTAIRS
3775,WALKING_UPSTAIRS
3776,WALKING_UPSTAIRS
3777,WALKING_UPSTAIRS
3778,WALKING_UPSTAIRS
3779,WALKING_DOWNSTAIRS
3780,WALKING_DOWNSTAIRS
3781,WALKING_DOWNSTAIRS
3782,WALKING_DOWNSTAIRS
3783,WALKING_DOWNSTAIRS
3784,WALKING_DOWNSTAIRS
3785,WALKING_DOWNSTAIRS
3786,WALKING_UPSTAIRS
3787,WALKING_UPSTAIRS
3788,WALKING_UPSTAIRS
3789,WALKING_UPSTAIRS
3790,WALKING_UPSTAIRS
3791,WALKING_UPSTAIRS
3792,WALKING_UPSTAIRS
3793,STANDING
3794,STANDING
3795,STANDING
3796,STANDING
3797,STANDING
3798,STANDING
3799,STANDING
3800,STANDING
3801,STANDING
3802,STANDING
3803,STANDING
3804,STANDING
3805,STANDING
3806,STANDING
3807,STANDING
3808,STANDING
3809,STANDING
3810,STANDING
3811,STANDING
3812,STANDING
3813,STANDING
3814,STANDING
3815,STANDING
3816,STANDING
3817,STANDING
3818,STANDING
3819,STANDING
3820,STANDING
3821,STANDING
3822,STANDING
3823,STANDING
3824,STANDING
3825,SITTING
3826,SITTING
3827,SITTING
3828,SITTING
3829,SITTING
3830,SITTING
3831,SITTING
3832,SITTING
3833,SITTING
3834,SITTING
3835,SITTING
3836,SITTING
3837,SITTING
3838,SITTING
3839,SITTING
3840,SITTING
3841,SITTING
3842,SITTING
3843,SITTING
3844,SITTING
3845,SITTING
3846,SITTING
3847,SITTING
3848,SITTING
3849,SITTING
3850,SITTING
3851,SITTING
3852,SITTING
3853,SITTING
3854,SITTING
3855,SITTING
3856,SITTING
3857,SITTING
3858,SITTING
3859,SITTING
3860,SITTING
3861,LAYING
3862,LAYING
3863,LAYING
3864,LAYING
3865,LAYING
3866,LAYING
3867,LAYING
3868,LAYING
3869,LAYING
3870,LAYING
3871,LAYING
3872,LAYING
3873,LAYING
3874,LAYING
3875,LAYING
3876,LAYING
3877,LAYING
3878,LAYING
3879,LAYING
3880,LAYING
3881,LAYING
3882,LAYING
3883,LAYING
3884,LAYING
3885,LAYING
3886,LAYING
3887,LAYING
3888,LAYING
3889,LAYING
3890,LAYING
3891,LAYING
3892,LAYING
3893,LAYING
3894,LAYING
3895,LAYING
3896,LAYING
3897,LAYING
3898,LAYING
3899,LAYING
3900,LAYING
3901,LAYING
3902,LAYING
3903,WALKING
3904,WALKING
3905,WALKING
3906,WALKING
3907,WALKING
3908,WALKING
3909,WALKING
3910,WALKING
3911,WALKING
3912,WALKING
3913,WALKING
3914,WALKING
3915,WALKING
3916,WALKING
3917,WALKING
3918,WALKING
3919,WALKING
3920,WALKING
3921,WALKING
3922,WALKING
3923,WALKING
3924,WALKING
3925,WALKING
3926,WALKING
3927,WALKING
3928,WALKING_DOWNSTAIRS
3929,WALKING_DOWNSTAIRS
3930,WALKING_DOWNSTAIRS
3931,WALKING_DOWNSTAIRS
3932,WALKING_DOWNSTAIRS
3933,WALKING_DOWNSTAIRS
3934,WALKING_DOWNSTAIRS
3935,WALKING_DOWNSTAIRS
3936,WALKING_DOWNSTAIRS
3937,WALKING_DOWNSTAIRS
3938,WALKING_DOWNSTAIRS
3939,WALKING_DOWNSTAIRS
3940,WALKING_UPSTAIRS
3941,WALKING_UPSTAIRS
3942,WALKING_UPSTAIRS
3943,WALKING_UPSTAIRS
3944,WALKING_UPSTAIRS
3945,WALKING_UPSTAIRS
3946,WALKING_UPSTAIRS
3947,WALKING_UPSTAIRS
3948,WALKING_UPSTAIRS
3949,WALKING_UPSTAIRS
3950,WALKING_UPSTAIRS
3951,WALKING_UPSTAIRS
3952,WALKING_UPSTAIRS
3953,WALKING_DOWNSTAIRS
3954,WALKING_DOWNSTAIRS
3955,WALKING_DOWNSTAIRS
3956,WALKING_DOWNSTAIRS
3957,WALKING_DOWNSTAIRS
3958,WALKING_DOWNSTAIRS
